Iteration,xn,fxn,E
0,2+0i,-9.85203026391962+0i,1.0000005
1,-1.94081210556785+0i,-13.5825575817643+21.9911485751286i,2.03049645777783
2,1.00759927675437-4.77369246395094i,-17.086799638062+4.76574189469405i,1.1500233459578
3,8.59671944561366+3.59373176369466i,-14.0266493449853+0.822034981839336i,1.21236596596947
4,31.4240315496418-20.6397210939041i,-0.964273451333749-16.5716713177864i,0.885512699177286
5,30.2080466799425-1.16100408951972i,-0.653877848707531-0.892101215260198i,0.64559739903862
6,31.0452273877977+0.00934216570299462i,-0.00288855387566755+0.00723571767701737i,0.0463501710601939
7,31.048956033346-3.26478490101853e-07i,-2.66552561356548e-07-2.52873779262025e-07i,0.000323974609487718
8,31.0489563774848+1.05327800543287e-15i,0+8.15816045411035e-16i,1.52778864409253e-08
