Iteración,xi,f(xi),Error
1,1.5,-3.125,0.388707037643208
2,1.88870703764321,-0.842177693346846,0.105129720534756
3,1.99383675817796,-0.0491542264913936,0.00614424931825752
4,1.99998100749622,-0.000151938587378163,1.89923234215073e-05
5,1.99999999981964,-1.44286005352745e-09,1.80357506707196e-10
