Iteration,xn,fxn,E
0,2,-9.85203026391962,1.0000005
1,11.8520302639196,-12.4554640184409,9.85203026391962
2,24.3074942823605,-5.02799868400258,12.4554640184409
3,29.3354929663631,-1.31609406230989,5.02799868400258
4,30.651587028673,-0.307204052149675,1.31609406230989
5,30.9587910808226,-0.0698079204520248,0.307204052149675
6,31.0285990012747,-0.0157662921150674,0.0698079204520248
7,31.0443652933897,-0.0035559457626313,0.0157662921150674
8,31.0479212391524,-0.000801762078854296,0.0035559457626313
9,31.0487230012312,-0.00018076128334954,0.000801762078854296
10,31.0489037625146,-4.07528934509571e-05,0.00018076128334954
11,31.048944515408,-9.18776614966532e-06,4.07528934509571e-05
12,31.0489537031742,-2.0713861452748e-06,9.18776614966532e-06
13,31.0489557745603,-4.66994883652205e-07,2.0713861452748e-06
14,31.0489562415552,-1.05284190254906e-07,4.66994883652205e-07
